voted_for,gender,race,birthyr,region
Trump,Male,White,45-64,Northeast
Biden,Female,White,> 64,Midwest
Biden,Female,White,45-64,Northeast
Trump,Male,White,45-64,Midwest
Trump,Female,White,> 64,Midwest
Trump,Female,White,45-64,Midwest
Biden,Female,White,45-64,Northeast
Biden,Female,White,45-64,South
Biden,Female,White,45-64,South
Biden,Male,White,45-64,Midwest
Biden,Female,White,45-64,West
Trump,Male,White,45-64,Midwest
Trump,Male,White,45-64,South
Trump,Female,White,> 64,South
Biden,Male,Black,> 64,Midwest
Biden,Female,Black,45-64,South
Biden,Male,White,30-44,Northeast
Biden,Female,White,30-44,West
Trump,Female,Black,45-64,South
Biden,Female,White,> 64,West
Biden,Female,White,> 64,Midwest
Biden,Female,White,> 64,West
Biden,Female,White,30-44,Northeast
Trump,Female,White,45-64,West
Trump,Male,White,> 64,Midwest
Biden,Male,White,> 64,Midwest
Biden,Female,White,45-64,South
Trump,Male,White,> 64,Northeast
Trump,Female,White,> 64,West
Biden,Female,White,45-64,Midwest
Trump,Male,White,45-64,Northeast
Biden,Female,Black,45-64,South
Trump,Male,White,45-64,Northeast
Biden,Female,White,> 64,Midwest
Trump,Female,White,30-44,South
Trump,Male,White,> 64,South
Biden,Female,White,> 64,West
Biden,Female,White,45-64,South
Biden,Female,White,> 64,West
Biden,Female,White,45-64,South
Trump,Female,White,> 64,South
Trump,Male,White,> 64,South
Biden,Female,White,45-64,Midwest
Trump,Male,White,45-64,South
Biden,Female,White,45-64,South
Trump,Female,White,30-44,West
Biden,Male,White,> 64,South
Trump,Male,Hispanic,45-64,West
Biden,Female,White,> 64,South
Biden,Female,White,45-64,South
Biden,Female,Hispanic,45-64,Midwest
Trump,Female,White,45-64,South
Biden,Female,White,> 64,West
Trump,Male,Other,45-64,South
Biden,Male,White,18-29,West
Trump,Male,White,45-64,South
Biden,Female,White,18-29,West
Trump,Female,White,45-64,Midwest
Trump,Female,White,> 64,Northeast
Trump,Female,White,30-44,South
Biden,Female,White,> 64,Midwest
Trump,Female,White,45-64,South
Trump,Female,White,45-64,Midwest
Biden,Male,Hispanic,> 64,South
Trump,Female,White,> 64,Midwest
Biden,Male,White,45-64,Midwest
Biden,Female,White,> 64,South
Biden,Male,White,45-64,South
Trump,Male,White,> 64,Midwest
Trump,Female,White,> 64,South
Trump,Female,White,45-64,West
Biden,Female,Hispanic,> 64,South
Trump,Male,White,45-64,South
Biden,Male,Other,18-29,West
Biden,Female,Hispanic,> 64,Northeast
Biden,Female,White,45-64,South
Trump,Female,White,45-64,West
Trump,Female,White,18-29,West
Biden,Female,White,> 64,West
Trump,Female,White,45-64,South
Biden,Female,Black,45-64,South
Trump,Female,White,> 64,Midwest
Trump,Male,White,45-64,Northeast
Biden,Male,Hispanic,45-64,West
Biden,Female,White,> 64,Northeast
Trump,Male,White,45-64,West
Biden,Female,Black,45-64,South
Biden,Male,Asian,30-44,Midwest
Trump,Male,White,> 64,South
Trump,Male,White,30-44,Northeast
Trump,Male,White,45-64,Midwest
Biden,Male,White,> 64,Midwest
Biden,Female,White,45-64,Midwest
Biden,Female,White,> 64,West
Trump,Male,White,45-64,South
Biden,Female,White,30-44,West
Trump,Female,White,45-64,South
Biden,Female,White,45-64,Northeast
Trump,Female,White,45-64,West
Biden,Female,White,45-64,West
Biden,Female,White,30-44,Northeast
Trump,Male,White,45-64,South
Biden,Female,White,45-64,West
Biden,Male,White,45-64,West
